file_name,line_name,rest_wavelength,fit_type,fitted_center,depth,sigma_gaussian_width,gamma_voigt,r_squared,success,note
spec-0267-51608-0271_cropped7500.fits,He I 3818,3818.0,voigt,3822.673183401945,0.3021018530515165,0.05000000000000097,5.928863184170492,0.33800982752690667,True,
spec-0267-51608-0271_cropped7500.fits,H8 + He I 3890,3890.0,voigt,3889.322809701972,0.4485229195841953,0.05000000000315358,1.8846921087398483,0.6592297792092328,True,
spec-0267-51608-0271_cropped7500.fits,He I 4028,4028.0,voigt,4024.9061859601447,0.3742984482497036,0.05000000014400355,8.813995418811725,0.6121253570246732,True,
spec-0267-51608-0271_cropped7500.fits,He I 4473,4473.0,voigt,4474.6578203211275,0.18117928924784912,0.050000000000077996,2.152393965007092,0.6449123441588556,True,
spec-0267-51608-0271_cropped7500.fits,He I 4715,4715.0,gaussian,4715.896538510556,0.2385563536462194,4.864122927953457,,0.7673596198724963,True,
spec-0267-51608-0271_cropped7500.fits,He I 4925,4925.0,gaussian,4924.094336409935,0.20535859229191872,4.766348781790372,,0.56814295732289,True,
