file_name,line_name,rest_wavelength,fit_type,fitted_center,depth,sigma_gaussian_component,gamma_lorentzian_component,r_squared,success,note
spec-0364-52000-0003.fits,He I 3818,3818.0,voigt,3820.387424889318,1.8109659662871018,13.203672071581416,13.203672071581405,0.14365860299317623,True,
spec-0364-52000-0003.fits,H8 + He I 3890,3890.0,voigt,3889.884228278482,2.229652390738113,27.76804674017792,21.098605440140222,0.42065788678241123,True,
spec-0364-52000-0003.fits,He I 4028,4028.0,voigt,4027.31954558003,0.21293589292451912,2.7238868504652003,2.394968336537763e-14,0.6594310808767394,True,
spec-0364-52000-0003.fits,He I 4473,4473.0,voigt,4472.087633435884,0.1896348189486997,3.351178529299982,1.5695459496393933e-14,0.7695455948030963,True,
spec-0364-52000-0003.fits,He I 4715,4715.0,voigt,4714.452823840087,0.22895039042716522,0.05000000000006217,0.8468082044246549,0.5388480647013065,True,
spec-0364-52000-0003.fits,He I 4925,4925.0,voigt,4923.206214852867,0.14561110751381576,3.2779678378022323,1.5636655136984068e-15,0.690319759384108,True,
