file_name,line_name,rest_wavelength,fit_type,fitted_center,depth,sigma_gaussian_component,gamma_lorentzian_component,r_squared,success,note
spec-0417-51821-0428_despiked_cropped7500.fits,He I 3818,3818.0,voigt,3819.693799949329,0.09323954962288969,0.05000000000000292,7.073673903605883,0.3802931749496823,True,
spec-0417-51821-0428_despiked_cropped7500.fits,H8 + He I 3890,3890.0,voigt,3889.595455978285,0.2442067915461445,1.7997705695334278,4.441872923027776,0.8375236134184526,True,
spec-0417-51821-0428_despiked_cropped7500.fits,He I 4028,4028.0,voigt,4026.0037953887063,0.17774703355102897,5.1678596400835035,1.0523215119284677e-16,0.7963787651391063,True,
spec-0417-51821-0428_despiked_cropped7500.fits,He I 4473,4473.0,voigt,4472.757250493805,0.25042698612199765,0.05000000000000041,3.1115722339125647,0.8882336410127042,True,
spec-0417-51821-0428_despiked_cropped7500.fits,He I 4715,4715.0,voigt,4715.211461232674,0.07813179340386932,3.437821998817805,1.1856130991555994e-19,0.6141453435333248,True,
spec-0417-51821-0428_despiked_cropped7500.fits,He I 4925,4925.0,voigt,4924.179518180723,0.12353833979449773,5.2695930933304425,4.623864482665432e-13,0.8561738491232631,True,
spec-0427-51900-0320_despiked_cropped7500.fits,He I 3818,3818.0,none,,,,,,False,insufficient data points in window
spec-0427-51900-0320_despiked_cropped7500.fits,H8 + He I 3890,3890.0,voigt,3890.7220327845134,0.3519645582567455,0.050000000005783134,1.9106333500615411,0.6834249805339645,True,
spec-0427-51900-0320_despiked_cropped7500.fits,He I 4028,4028.0,voigt,4026.882437990764,0.5071703820853533,0.050000001374067515,12.339971172805495,0.7033540911512719,True,
spec-0427-51900-0320_despiked_cropped7500.fits,He I 4473,4473.0,voigt,4472.286576185146,0.4121495606007423,0.050000000258454594,6.641755244904255,0.8205440447198615,True,
spec-0427-51900-0320_despiked_cropped7500.fits,He I 4715,4715.0,voigt,4717.330158454764,0.2505304517765164,6.578728227852621,1.3546891595874904e-10,0.5240797585514574,True,
spec-0427-51900-0320_despiked_cropped7500.fits,He I 4925,4925.0,voigt,4924.707434913786,0.17167743226213522,0.05000000001616398,1.7145631492535887,0.4658906333152726,True,
spec-0427-51900-0564_despiked_cropped7500.fits,He I 3818,3818.0,voigt,3815.6938011065936,0.08886890873155018,2.3756067474219194,5.314120078688357e-09,0.10106404473677932,True,
spec-0427-51900-0564_despiked_cropped7500.fits,H8 + He I 3890,3890.0,voigt,3889.336934655688,0.26775628208727614,0.51719708120051,2.1750580911436743,0.5162967335358809,True,
spec-0427-51900-0564_despiked_cropped7500.fits,He I 4028,4028.0,voigt,4024.3535137503454,2.12778690576495,23.185492425634486,23.185492420990858,0.5719124772874122,True,
spec-0427-51900-0564_despiked_cropped7500.fits,He I 4473,4473.0,voigt,4470.720261486484,0.1521970354585074,1.0608976337365938,4.279512403766272,0.5139113080612752,True,
spec-0427-51900-0564_despiked_cropped7500.fits,He I 4715,4715.0,voigt,4711.858027529757,0.16168624873467372,0.05000000000042505,5.243060788207532,0.4886666617581866,True,
spec-0427-51900-0564_despiked_cropped7500.fits,He I 4925,4925.0,voigt,4923.838446737498,0.1502076633348401,1.7711424513940992,0.34972916723896896,0.6833864174047353,True,
spec-0429-51820-0311_despiked_cropped7500.fits,He I 3818,3818.0,none,,,,,,False,insufficient data points in window
spec-0429-51820-0311_despiked_cropped7500.fits,H8 + He I 3890,3890.0,voigt,3890.021037806283,0.08833296230740187,1.6153620602108834,9.566945861019365e-09,0.22378295339144372,True,
spec-0429-51820-0311_despiked_cropped7500.fits,He I 4028,4028.0,voigt,4023.4892342462126,0.06333134097765565,3.4200392319540627,7.491199276320601e-10,0.2823084339330889,True,
spec-0429-51820-0311_despiked_cropped7500.fits,He I 4473,4473.0,voigt,4471.375802119098,0.09734964826339315,0.05000000000533518,2.2080762549812696,0.49809402302252737,True,
spec-0429-51820-0311_despiked_cropped7500.fits,He I 4715,4715.0,voigt,4706.076380304399,0.20677706294949744,0.28042925623568976,3.8651733113419708e-31,0.28931267305475095,True,
spec-0429-51820-0311_despiked_cropped7500.fits,He I 4925,4925.0,voigt,4922.527964286277,0.09966659732426858,6.577318111550421,1.6307883934502947e-15,0.6429280322853173,True,
